benchmark,valid,warmup,elapsed_ms,socket,heap_size,gc,cpu_freq_mhz,dram_j,cpu_j,package_j
biojava,true,true,7887,0,7m,serial,400MHz,3.088318000,4.623413000,16.168396000
biojava,true,false,7086,0,7m,serial,400MHz,2.752929000,4.134277000,14.454468000
biojava,true,true,10960,0,7m,serial,800MHz,4.656921000,9.199097000,25.274353000
biojava,true,true,5251,0,7m,serial,800MHz,2.356506000,4.562134000,12.373536000
biojava,true,true,4020,0,7m,serial,800MHz,1.846009000,3.468933000,9.466003000
biojava,true,true,4054,0,7m,serial,800MHz,1.865296000,3.501465000,9.552186000
biojava,true,true,3815,0,7m,serial,800MHz,1.765930000,3.362182000,9.046997000
biojava,true,false,3685,0,7m,serial,800MHz,1.722351000,3.194153000,8.709839000
biojava,true,true,10759,0,7m,serial,800MHz,4.537780000,9.021850000,24.796448000
biojava,true,true,4931,0,7m,serial,800MHz,2.220459000,4.209778000,11.536255000
biojava,true,true,4010,0,7m,serial,800MHz,1.860596000,3.522156000,9.519226000
biojava,true,true,4034,0,7m,serial,800MHz,1.878662000,3.498047000,9.538574000
biojava,true,true,3957,0,7m,serial,800MHz,1.846375000,3.424438000,9.339722000
biojava,true,false,3659,0,7m,serial,800MHz,1.723938000,3.221192000,8.711670000
biojava,true,true,10796,0,7m,serial,800MHz,4.554260000,9.041870000,24.846801000
biojava,true,true,5110,0,7m,serial,800MHz,2.322875000,4.457825000,12.085327000
biojava,true,true,3895,0,7m,serial,800MHz,1.778930000,3.365662000,9.152588000
biojava,true,true,4022,0,7m,serial,800MHz,1.874389000,3.551331000,9.578064000
biojava,true,true,3846,0,7m,serial,800MHz,1.825257000,3.364319000,9.151794000
biojava,true,false,3783,0,7m,serial,800MHz,1.737976000,3.279846000,8.911499000
biojava,true,true,10873,0,7m,serial,800MHz,4.585022000,9.129700000,25.075440000
biojava,true,true,4804,0,7m,serial,800MHz,2.196716000,4.250976000,11.416626000
biojava,true,true,4778,0,7m,serial,800MHz,3.967773000,6.154175000,17.070374000
biojava,true,true,3828,0,7m,serial,800MHz,1.693482000,3.318420000,8.994934000
biojava,true,true,4067,0,7m,serial,800MHz,1.789673000,3.581848000,9.591614000
biojava,true,true,3753,0,7m,serial,800MHz,1.661438000,3.246277000,8.812622000
biojava,true,true,3626,0,7m,serial,800MHz,1.621582000,3.148621000,8.541626000
biojava,true,true,4820,0,7m,serial,800MHz,2.147339000,4.268798000,11.383667000
biojava,true,true,3611,0,7m,serial,800MHz,1.617309000,3.140870000,8.504943000
biojava,true,true,3610,0,7m,serial,800MHz,1.621582000,3.188477000,8.546203000
biojava,true,true,3716,0,7m,serial,800MHz,1.692933000,3.255188000,8.823426000
biojava,true,false,3658,0,7m,serial,800MHz,1.624024000,3.180359000,8.609192000
biojava,true,true,10817,0,7m,serial,800MHz,4.330506000,9.014770000,24.684936000
biojava,true,true,4970,0,7m,serial,800MHz,2.129882000,4.250061000,11.558838000
biojava,true,true,4385,0,7m,serial,800MHz,1.976440000,3.885803000,10.424194000
biojava,true,true,4212,0,7m,serial,800MHz,1.811889000,3.608399000,9.797485000
biojava,true,true,4109,0,7m,serial,800MHz,1.817138000,3.594666000,9.677124000
biojava,true,false,3630,0,7m,serial,800MHz,1.589172000,3.122925000,8.470276000
biojava,true,true,10783,0,7m,serial,800MHz,4.367615000,9.019959000,24.684570000
biojava,true,true,5094,0,7m,serial,800MHz,2.223267000,4.431213000,11.971374000
biojava,true,true,3947,0,7m,serial,800MHz,1.739013000,3.408508000,9.253906000
biojava,true,true,3895,0,7m,serial,800MHz,1.732971000,3.425293000,9.210999000
biojava,true,true,4047,0,7m,serial,800MHz,1.772217000,3.479370000,9.461609000
biojava,true,false,3729,0,7m,serial,800MHz,1.660766000,3.271667000,8.799988000
biojava,true,true,10800,0,7m,serial,800MHz,4.413636000,9.037170000,24.754334000
biojava,true,true,5370,0,7m,serial,800MHz,2.257263000,4.613098000,12.464966000
biojava,true,true,4086,0,7m,serial,800MHz,1.788025000,3.511474000,9.555725000
biojava,true,true,3910,0,7m,serial,800MHz,1.723023000,3.357788000,9.148376000
biojava,true,true,4051,0,7m,serial,800MHz,1.780091000,3.541137000,9.518921000
biojava,true,false,3652,0,7m,serial,800MHz,1.645752000,3.165955000,8.601074000
biojava,true,true,10707,0,7m,serial,800MHz,4.337647000,8.949402000,24.518554000
biojava,true,true,4944,0,7m,serial,800MHz,2.097779000,4.194275000,11.429321000
biojava,true,true,3934,0,7m,serial,800MHz,1.722229000,3.434082000,9.236267000
biojava,true,true,4066,0,7m,serial,800MHz,1.787231000,3.505371000,9.527710000
biojava,true,true,3787,0,7m,serial,800MHz,1.689454000,3.274475000,8.910461000
biojava,true,false,3727,0,7m,serial,800MHz,1.705322000,3.305847000,8.886902000
biojava,true,true,10795,0,7m,serial,800MHz,4.315734000,8.981628000,24.592102000
biojava,true,true,4855,0,7m,serial,800MHz,2.092896000,4.197266000,11.350037000
biojava,true,true,4152,0,7m,serial,800MHz,1.800781000,3.560974000,9.678162000
biojava,true,true,3952,0,7m,serial,800MHz,1.790772000,3.487976000,9.385132000
biojava,true,true,4208,0,7m,serial,800MHz,1.912964000,3.664917000,9.965821000
biojava,true,false,3636,0,7m,serial,800MHz,1.612488000,3.132691000,8.513062000
biojava,true,true,10453,0,7m,serial,800MHz,4.176575000,8.702027000,23.817138000
biojava,true,true,5295,0,7m,serial,800MHz,2.239746000,4.493836000,12.243958000
biojava,true,true,4010,0,7m,serial,800MHz,1.786071000,3.517457000,9.469360000
biojava,true,true,4068,0,7m,serial,800MHz,1.782654000,3.498536000,9.500855000
biojava,true,true,4027,0,7m,serial,800MHz,1.745728000,3.512207000,9.417542000
biojava,true,false,3714,0,7m,serial,800MHz,1.623902000,3.202087000,8.671814000
biojava,true,true,7217,0,7m,serial,1.2GHz,3.285706000,8.786132000,19.421142000
biojava,true,true,3146,0,7m,serial,1.2GHz,1.629456000,3.964417000,8.793884000
biojava,true,true,2792,0,7m,serial,1.2GHz,1.432007000,3.602539000,7.859741000
biojava,true,true,2818,0,7m,serial,1.2GHz,1.491028000,3.586425000,7.946839000
biojava,true,true,2724,0,7m,serial,1.2GHz,1.404663000,3.447570000,7.617309000
biojava,true,false,2453,0,7m,serial,1.2GHz,1.293030000,3.118347000,6.895935000
biojava,true,true,7009,0,7m,serial,1.2GHz,3.208130000,8.438355000,18.793824000
biojava,true,true,3416,0,7m,serial,1.2GHz,1.685608000,4.306885000,9.458374000
biojava,true,true,2595,0,7m,serial,1.2GHz,1.333557000,3.275146000,7.236817000
biojava,true,true,2715,0,7m,serial,1.2GHz,1.383301000,3.423401000,7.559326000
biojava,true,true,2781,0,7m,serial,1.2GHz,1.431519000,3.563232000,7.810424000
biojava,true,false,2521,0,7m,serial,1.2GHz,1.356506000,3.224182000,7.137940000
biojava,true,true,7141,0,7m,serial,1.2GHz,3.279785000,8.696899000,19.265015000
biojava,true,true,3476,0,7m,serial,1.2GHz,1.696472000,4.314514000,9.536804000
biojava,true,true,2548,0,7m,serial,1.2GHz,1.317749000,3.220825000,7.123474000
biojava,true,true,2668,0,7m,serial,1.2GHz,1.374085000,3.417847000,7.500245000
biojava,true,true,2836,0,7m,serial,1.2GHz,1.445801000,3.545532000,7.864746000
biojava,true,true,2461,0,7m,serial,1.2GHz,1.303772000,3.115296000,6.909423000
biojava,true,true,2477,0,7m,serial,1.2GHz,1.295532000,3.138183000,6.944763000
biojava,true,true,2500,0,7m,serial,1.2GHz,1.322815000,3.217834000,7.071960000
biojava,true,false,2462,0,7m,serial,1.2GHz,1.307861000,3.134766000,6.942993000
biojava,true,true,7047,0,7m,serial,1.2GHz,3.238403000,8.567322000,18.979187000
biojava,true,true,3314,0,7m,serial,1.2GHz,1.624024000,4.128296000,9.118348000
biojava,true,true,2651,0,7m,serial,1.2GHz,1.375793000,3.407104000,7.481018000
biojava,true,true,2600,0,7m,serial,1.2GHz,1.344177000,3.286621000,7.265198000
biojava,true,true,2721,0,7m,serial,1.2GHz,1.396667000,3.429078000,7.575745000
biojava,true,false,2464,0,7m,serial,1.2GHz,1.283569000,3.122802000,6.890930000
biojava,true,true,7077,0,7m,serial,1.2GHz,3.246216000,8.503540000,18.989014000
biojava,true,true,3334,0,7m,serial,1.2GHz,1.665466000,4.241944000,9.265564000
biojava,true,true,2664,0,7m,serial,1.2GHz,1.363770000,3.328125000,7.388794000
biojava,true,true,2644,0,7m,serial,1.2GHz,1.388305000,3.336060000,7.415100000
biojava,true,true,2742,0,7m,serial,1.2GHz,1.422973000,3.454162000,7.651001000
biojava,true,false,2555,0,7m,serial,1.2GHz,1.349854000,3.285217000,7.223755000
biojava,true,true,7104,0,7m,serial,1.2GHz,3.271057000,8.632019000,19.155945000
biojava,true,true,3351,0,7m,serial,1.2GHz,1.738526000,4.184814000,9.325866000
biojava,true,true,2712,0,7m,serial,1.2GHz,1.355713000,3.357300000,7.442749000
biojava,true,true,2701,0,7m,serial,1.2GHz,1.408081000,3.453003000,7.600281000
biojava,true,true,2807,0,7m,serial,1.2GHz,1.447692000,3.503845000,7.787475000
biojava,true,false,2469,0,7m,serial,1.2GHz,1.302124000,3.114624000,6.918824000
biojava,true,true,7226,0,7m,serial,1.2GHz,3.257996000,8.734986000,19.346008000
biojava,true,true,3554,0,7m,serial,1.2GHz,1.762268000,4.375367000,9.724976000
biojava,true,true,2680,0,7m,serial,1.2GHz,1.412475000,3.444885000,7.577393000
biojava,true,true,2750,0,7m,serial,1.2GHz,1.426087000,3.458435000,7.673889000
biojava,true,true,2610,0,7m,serial,1.2GHz,1.350586000,3.290528000,7.288391000
biojava,true,false,2461,0,7m,serial,1.2GHz,1.314453000,3.200867000,7.010131000
biojava,true,true,7181,0,7m,serial,1.2GHz,3.286621000,8.624573000,19.224976000
biojava,true,true,3292,0,7m,serial,1.2GHz,1.658509000,4.080200000,9.087830000
biojava,true,true,2603,0,7m,serial,1.2GHz,1.325622000,3.244507000,7.202209000
biojava,true,true,2628,0,7m,serial,1.2GHz,1.396973000,3.324341000,7.395935000
biojava,true,true,2724,0,7m,serial,1.2GHz,1.460998000,3.510315000,7.737244000
biojava,true,false,2455,0,7m,serial,1.2GHz,1.306641000,3.098023000,6.886536000
biojava,true,true,7115,0,7m,serial,1.2GHz,3.208435000,8.602600000,19.058471000
biojava,true,true,3332,0,7m,serial,1.2GHz,1.634643000,4.120666000,9.129090000
biojava,true,true,2716,0,7m,serial,1.2GHz,1.401001000,3.398438000,7.561584000
biojava,true,true,2629,0,7m,serial,1.2GHz,1.395141000,3.350952000,7.425355000
biojava,true,true,2593,0,7m,serial,1.2GHz,1.387818000,3.297363000,7.336853000
biojava,true,false,2487,0,7m,serial,1.2GHz,1.314453000,3.140686000,6.988648000
biojava,true,true,7285,0,7m,serial,1.2GHz,3.349914000,8.799316000,19.588623000
biojava,true,true,3441,0,7m,serial,1.2GHz,1.713074000,4.326110000,9.506958000
biojava,true,true,2667,0,7m,serial,1.2GHz,1.357483000,3.333801000,7.387939000
biojava,true,true,2623,0,7m,serial,1.2GHz,1.345397000,3.284668000,7.284973000
biojava,true,true,2888,0,7m,serial,1.2GHz,1.465027000,3.591125000,7.976013000
biojava,true,true,2464,0,7m,serial,1.2GHz,1.295898000,3.170349000,6.956848000
biojava,true,true,2456,0,7m,serial,1.2GHz,1.289124000,3.106018000,6.881714000
biojava,true,true,3236,0,7m,serial,1.2GHz,1.728943000,3.993653000,8.963379000
biojava,true,true,2435,0,7m,serial,1.2GHz,1.267090000,3.131103000,6.853698000
biojava,true,true,2468,0,7m,serial,1.2GHz,1.346985000,3.147338000,7.005127000
biojava,true,true,2516,0,7m,serial,1.2GHz,1.290650000,3.163696000,6.994873000
biojava,true,false,2438,0,7m,serial,1.2GHz,1.262757000,3.050964000,6.779236000
biojava,true,true,5368,0,7m,serial,1.6GHz,2.899902000,8.649108000,16.958679000
biojava,true,true,2666,0,7m,serial,1.6GHz,1.618287000,4.408874000,8.708313000
biojava,true,true,2090,0,7m,serial,1.6GHz,1.268737000,3.554321000,6.916199000
biojava,true,true,2048,0,7m,serial,1.6GHz,1.281311000,3.451477000,6.799011000
biojava,true,true,2062,0,7m,serial,1.6GHz,1.307068000,3.477356000,6.863953000
biojava,true,false,1882,0,7m,serial,1.6GHz,1.198425000,3.200134000,6.287659000
biojava,true,true,5469,0,7m,serial,1.6GHz,3.025391000,8.859191000,17.384643000
biojava,true,true,2582,0,7m,serial,1.6GHz,1.585389000,4.290466000,8.486450000
biojava,true,true,2022,0,7m,serial,1.6GHz,1.279236000,3.395874000,6.714355000
biojava,true,true,2042,0,7m,serial,1.6GHz,1.287476000,3.495544000,6.832153000
biojava,true,true,2082,0,7m,serial,1.6GHz,1.305603000,3.483032000,6.877991000
biojava,true,false,1926,0,7m,serial,1.6GHz,1.225525000,3.249817000,6.410400000
biojava,true,true,5486,0,7m,serial,1.6GHz,2.899170000,8.847107000,17.257385000
biojava,true,true,2558,0,7m,serial,1.6GHz,1.538025000,4.221558000,8.320984000
biojava,true,true,2174,0,7m,serial,1.6GHz,1.383851000,3.681335000,7.270264000
biojava,true,true,2039,0,7m,serial,1.6GHz,1.285278000,3.454284000,6.785462000
biojava,true,true,2042,0,7m,serial,1.6GHz,1.313782000,3.516053000,6.877258000
biojava,true,true,1939,0,7m,serial,1.6GHz,1.223511000,3.282532000,6.449280000
biojava,true,false,1863,0,7m,serial,1.6GHz,1.168579000,3.132385000,6.162963000
biojava,true,true,5460,0,7m,serial,1.6GHz,2.935607000,8.819458000,17.235962000
biojava,true,true,2666,0,7m,serial,1.6GHz,1.609802000,4.405396000,8.703980000
biojava,true,true,1978,0,7m,serial,1.6GHz,1.262512000,3.326599000,6.581848000
biojava,true,true,2156,0,7m,serial,1.6GHz,1.342713000,3.593018000,7.112244000
biojava,true,true,2155,0,7m,serial,1.6GHz,1.337585000,3.647705000,7.143921000
biojava,true,true,1860,0,7m,serial,1.6GHz,1.175110000,3.130188000,6.165588000
biojava,true,true,1875,0,7m,serial,1.6GHz,1.208863000,3.172119000,6.266419000
biojava,true,true,2100,0,7m,serial,1.6GHz,1.332825000,3.486206000,6.919373000
biojava,true,true,2177,0,7m,serial,1.6GHz,1.404541000,3.601868000,7.165344000
biojava,true,true,1883,0,7m,serial,1.6GHz,1.208313000,3.235657000,6.333924000
biojava,true,true,1910,0,7m,serial,1.6GHz,1.206970000,3.214417000,6.337219000
biojava,true,true,1870,0,7m,serial,1.6GHz,1.165161000,3.135193000,6.169616000
biojava,true,false,1846,0,7m,serial,1.6GHz,1.131958000,3.077454000,6.044250000
biojava,true,true,5486,0,7m,serial,1.6GHz,2.876770000,8.846618000,17.219910000
biojava,true,true,2554,0,7m,serial,1.6GHz,1.518249000,4.232910000,8.310608000
biojava,true,true,1932,0,7m,serial,1.6GHz,1.228272000,3.380981000,6.550110000
biojava,true,true,2008,0,7m,serial,1.6GHz,1.260499000,3.468811000,6.736267000
biojava,true,true,2164,0,7m,serial,1.6GHz,1.333679000,3.627686000,7.134888000
biojava,true,true,1904,0,7m,serial,1.6GHz,1.195312000,3.217041000,6.321167000
biojava,true,true,1883,0,7m,serial,1.6GHz,1.211548000,3.195740000,6.302124000
biojava,true,true,2458,0,7m,serial,1.6GHz,1.575805000,4.115540000,8.116394000
biojava,true,true,1861,0,7m,serial,1.6GHz,1.200318000,3.154053000,6.223328000
biojava,true,true,1863,0,7m,serial,1.6GHz,1.178894000,3.137878000,6.183166000
biojava,true,true,1888,0,7m,serial,1.6GHz,1.171387000,3.183106000,6.240357000
biojava,true,false,1881,0,7m,serial,1.6GHz,1.177612000,3.154724000,6.214417000
biojava,true,true,5458,0,7m,serial,1.6GHz,2.955810000,8.817260000,17.276001000
biojava,true,true,2454,0,7m,serial,1.6GHz,1.557983000,4.085572000,8.124878000
biojava,true,true,2041,0,7m,serial,1.6GHz,1.295166000,3.427002000,6.776489000
biojava,true,true,2076,0,7m,serial,1.6GHz,1.291198000,3.544617000,6.922424000
biojava,true,true,2076,0,7m,serial,1.6GHz,1.304749000,3.479370000,6.864869000
biojava,true,false,1861,0,7m,serial,1.6GHz,1.190308000,3.145081000,6.200439000
biojava,true,true,5454,0,7m,serial,1.6GHz,2.985962000,8.841309000,17.316346000
biojava,true,true,2605,0,7m,serial,1.6GHz,1.603638000,4.296875000,8.501831000
biojava,true,true,2073,0,7m,serial,1.6GHz,1.283203000,3.460632000,6.826233000
biojava,true,true,2147,0,7m,serial,1.6GHz,1.327088000,3.647339000,7.141052000
biojava,true,true,2134,0,7m,serial,1.6GHz,1.353821000,3.575317000,7.086304000
biojava,true,false,1881,0,7m,serial,1.6GHz,1.205323000,3.193054000,6.294250000
biojava,true,true,5495,0,7m,serial,1.6GHz,2.969055000,8.883240000,17.381164000
biojava,true,true,2476,0,7m,serial,1.6GHz,1.525452000,4.135986000,8.154846000
biojava,true,true,2130,0,7m,serial,1.6GHz,1.309510000,3.544311000,6.985108000
biojava,true,true,2028,0,7m,serial,1.6GHz,1.289001000,3.428650000,6.766113000
biojava,true,true,2075,0,7m,serial,1.6GHz,1.323425000,3.583313000,6.992676000
biojava,true,false,1916,0,7m,serial,1.6GHz,1.220521000,3.242798000,6.398254000
biojava,true,true,5511,0,7m,serial,1.6GHz,2.889282000,8.831848000,17.256103000
biojava,true,true,2345,0,7m,serial,1.6GHz,1.419433000,3.895141000,7.665955000
biojava,true,true,2037,0,7m,serial,1.6GHz,1.257690000,3.405029000,6.703247000
biojava,true,true,2114,0,7m,serial,1.6GHz,1.305847000,3.524170000,6.958374000
biojava,true,true,2135,0,7m,serial,1.6GHz,1.343140000,3.561157000,7.050293000
biojava,true,false,1886,0,7m,serial,1.6GHz,1.202332000,3.245727000,6.342041000
biojava,true,true,5434,0,7m,serial,1.6GHz,2.931091000,8.733825000,17.142700000
biojava,true,true,2572,0,7m,serial,1.6GHz,1.610656000,4.374206000,8.594665000
biojava,true,true,2085,0,7m,serial,1.6GHz,1.317871000,3.514954000,6.938294000
biojava,true,true,2029,0,7m,serial,1.6GHz,1.258911000,3.408691000,6.706726000
biojava,true,true,1992,0,7m,serial,1.6GHz,1.229370000,3.342834000,6.570130000
biojava,true,false,1880,0,7m,serial,1.6GHz,1.172546000,3.161194000,6.213989000
biojava,true,true,4460,0,7m,serial,2.0GHz,2.705872000,10.642578000,17.765747000
biojava,true,true,2046,0,7m,serial,2.0GHz,1.448792000,5.020630000,8.509216000
biojava,true,true,1637,0,7m,serial,2.0GHz,1.179077000,4.044006000,6.850586000
biojava,true,true,1717,0,7m,serial,2.0GHz,1.208984000,4.284424000,7.191468000
biojava,true,true,1667,0,7m,serial,2.0GHz,1.191284000,4.091675000,6.932251000
biojava,true,false,1574,0,7m,serial,2.0GHz,1.141907000,3.908875000,6.616516000
biojava,true,true,4448,0,7m,serial,2.0GHz,2.769714000,10.706115000,17.890259000
biojava,true,true,2249,0,7m,serial,2.0GHz,1.604309000,5.479553000,9.309998000
biojava,true,true,1670,0,7m,serial,2.0GHz,1.193725000,4.115723000,6.970093000
biojava,true,true,1623,0,7m,serial,2.0GHz,1.163697000,3.997010000,6.775757000
biojava,true,true,1791,0,7m,serial,2.0GHz,1.296997000,4.427368000,7.509522000
biojava,true,true,1584,0,7m,serial,2.0GHz,1.139404000,3.908814000,6.619996000
biojava,true,true,1546,0,7m,serial,2.0GHz,1.112793000,3.891113000,6.530823000
biojava,true,true,2044,0,7m,serial,2.0GHz,1.493836000,4.941650000,8.434876000
biojava,true,true,1532,0,7m,serial,2.0GHz,1.103516000,3.780090000,6.397949000
biojava,true,true,1538,0,7m,serial,2.0GHz,1.117737000,3.815491000,6.460449000
biojava,true,true,1579,0,7m,serial,2.0GHz,1.128479000,3.885560000,6.578247000
biojava,true,false,1527,0,7m,serial,2.0GHz,1.086365000,3.763061000,6.358215000
biojava,true,true,4465,0,7m,serial,2.0GHz,2.755676000,10.627869000,17.815063000
biojava,true,true,2128,0,7m,serial,2.0GHz,1.497863000,5.209900000,8.835510000
biojava,true,true,1586,0,7m,serial,2.0GHz,1.142517000,3.911255000,6.636840000
biojava,true,true,1692,0,7m,serial,2.0GHz,1.216919000,4.261109000,7.165528000
biojava,true,true,1712,0,7m,serial,2.0GHz,1.261963000,4.237182000,7.218628000
biojava,true,true,1527,0,7m,serial,2.0GHz,1.101318000,3.784729000,6.400879000
biojava,true,true,1524,0,7m,serial,2.0GHz,1.103333000,3.770568000,6.391907000
biojava,true,true,1736,0,7m,serial,2.0GHz,1.290833000,4.307495000,7.328430000
biojava,true,true,1756,0,7m,serial,2.0GHz,1.271667000,4.292053000,7.287902000
biojava,true,true,1515,0,7m,serial,2.0GHz,1.089660000,3.799072000,6.384399000
biojava,true,true,1579,0,7m,serial,2.0GHz,1.181274000,3.970215000,6.745789000
biojava,true,true,1504,0,7m,serial,2.0GHz,1.071595000,3.701111000,6.263672000
biojava,true,false,1524,0,7m,serial,2.0GHz,1.094971000,3.745117000,6.353943000
biojava,true,true,4465,0,7m,serial,2.0GHz,2.721252000,10.666748000,17.813904000
biojava,true,true,1941,0,7m,serial,2.0GHz,1.379333000,4.746460000,8.062866000
biojava,true,true,1659,0,7m,serial,2.0GHz,1.167969000,4.057495000,6.870972000
biojava,true,true,1749,0,7m,serial,2.0GHz,1.274353000,4.339844000,7.360413000
biojava,true,true,1697,0,7m,serial,2.0GHz,1.202209000,4.139709000,7.027587000
biojava,true,false,1527,0,7m,serial,2.0GHz,1.095520000,3.827759000,6.440308000
biojava,true,true,4414,0,7m,serial,2.0GHz,2.669006000,10.484314000,17.559875000
biojava,true,true,1919,0,7m,serial,2.0GHz,1.407227000,4.737000000,8.056823000
biojava,true,true,1690,0,7m,serial,2.0GHz,1.199890000,4.207825000,7.074280000
biojava,true,true,1678,0,7m,serial,2.0GHz,1.185791000,4.088074000,6.939331000
biojava,true,true,1684,0,7m,serial,2.0GHz,1.215698000,4.125550000,7.014282000
biojava,true,false,1604,0,7m,serial,2.0GHz,1.165222000,3.949646000,6.713989000
biojava,true,true,4499,0,7m,serial,2.0GHz,2.742798000,10.758300000,17.971436000
