Benchmark,Objective,CPU Frequency (MHz),Frequency (MHz),Heap Label,Heap Multiplier Value,Heap Size MB,Mean,CI Low,CI High,Tied With Lowest Mean CI
avrora,Energy,2.4GHz,2400.0,4x,4.0,20,18.664135499999997,18.45342040749999,18.868719002499994,False
avrora,Energy,2.4GHz,2400.0,5x,5.0,25,19.185315,19.077824805,19.2955700175,False
avrora,Energy,2.4GHz,2400.0,6x,6.0,30,19.209204,18.98252443,19.4568512475,False
avrora,Energy,2.7GHz,2700.0,1x,1.0,5,25.087029899999997,24.7606932425,25.5458938775,False
avrora,Energy,2.7GHz,2700.0,2x,2.0,10,20.210852,20.0094717225,20.42788748,False
avrora,Energy,2.7GHz,2700.0,3x,3.0,15,19.7047061,19.5163803625,19.927074315,False
avrora,Energy,2.7GHz,2700.0,4x,4.0,20,19.557476899999997,19.371630127500005,19.789974092500003,False
avrora,Energy,2.7GHz,2700.0,5x,5.0,25,20.0993773,19.871528844999997,20.425933105,False
avrora,Energy,2.7GHz,2700.0,6x,6.0,30,20.150677699999996,19.894431355,20.424396767500003,False
avrora,Time,400MHz,400.0,1x,1.0,5,31093.1,30869.66,31283.5325,False
avrora,Time,400MHz,400.0,2x,2.0,10,25574.9,25215.695,26013.455,False
avrora,Time,400MHz,400.0,3x,3.0,15,24945.0,24702.3125,25183.6225,False
avrora,Time,400MHz,400.0,4x,4.0,20,25064.4,24785.1075,25332.1475,False
avrora,Time,400MHz,400.0,5x,5.0,25,25168.3,24902.0925,25443.73,False
avrora,Time,400MHz,400.0,6x,6.0,30,25011.9,24783.5775,25276.135,False
avrora,Time,800MHz,800.0,1x,1.0,5,15602.6,15484.4675,15720.6175,False
avrora,Time,800MHz,800.0,2x,2.0,10,12977.8,12836.3075,13174.345,False
avrora,Time,800MHz,800.0,3x,3.0,15,12514.9,12394.1275,12635.4125,False
avrora,Time,800MHz,800.0,4x,4.0,20,12576.0,12410.4675,12753.9275,False
avrora,Time,800MHz,800.0,5x,5.0,25,12560.0,12413.12,12746.935,False
avrora,Time,800MHz,800.0,6x,6.0,30,12454.4,12332.8375,12573.8025,False
avrora,Time,1.2GHz,1200.0,1x,1.0,5,10471.0,10315.575,10654.8125,False
avrora,Time,1.2GHz,1200.0,2x,2.0,10,8631.3,8466.7925,8847.115,False
avrora,Time,1.2GHz,1200.0,3x,3.0,15,8221.3,8171.889999999999,8280.81,False
avrora,Time,1.2GHz,1200.0,4x,4.0,20,8211.3,8142.297500000001,8297.932499999999,False
avrora,Time,1.2GHz,1200.0,5x,5.0,25,8203.8,8134.4875,8278.705,False
avrora,Time,1.2GHz,1200.0,6x,6.0,30,8208.4,8136.785,8281.115,False
avrora,Time,1.6GHz,1600.0,1x,1.0,5,7695.3,7620.1925,7791.6175,False
avrora,Time,1.6GHz,1600.0,2x,2.0,10,6319.9,6250.3875,6398.71,False
avrora,Time,1.6GHz,1600.0,3x,3.0,15,6175.3,6121.175,6228.8,False
avrora,Time,1.6GHz,1600.0,4x,4.0,20,6097.1,6036.797500000001,6155.2125,False
avrora,Time,1.6GHz,1600.0,5x,5.0,25,6120.3,6049.4,6200.8325,False
avrora,Time,1.6GHz,1600.0,6x,6.0,30,6142.2,6082.995,6197.2125,False
avrora,Time,2.0GHz,2000.0,1x,1.0,5,6197.6,6109.679999999999,6335.405,False
avrora,Time,2.0GHz,2000.0,2x,2.0,10,5022.8,4982.295,5064.2175,False
avrora,Time,2.0GHz,2000.0,3x,3.0,15,4891.9,4843.592500000001,4946.615000000001,False
avrora,Time,2.0GHz,2000.0,4x,4.0,20,4852.7,4826.59,4875.5,False
avrora,Time,2.0GHz,2000.0,5x,5.0,25,4906.4,4847.1675,4981.3150000000005,False
avrora,Time,2.0GHz,2000.0,6x,6.0,30,4855.5,4831.0825,4879.0025,False
avrora,Time,2.4GHz,2400.0,1x,1.0,5,5115.7,5086.597500000001,5154.705,False
avrora,Time,2.4GHz,2400.0,2x,2.0,10,4183.8,4139.8975,4240.8150000000005,False
avrora,Time,2.4GHz,2400.0,3x,3.0,15,4093.3,4026.3975,4185.905,False
avrora,Time,2.4GHz,2400.0,4x,4.0,20,4068.2,4020.7925,4115.1075,False
avrora,Time,2.4GHz,2400.0,5x,5.0,25,4065.1,4041.595,4086.6025,False
avrora,Time,2.4GHz,2400.0,6x,6.0,30,4073.7,4025.695,4126.202499999999,False
avrora,Time,2.7GHz,2700.0,1x,1.0,5,4592.2,4536.4975,4677.1475,False
avrora,Time,2.7GHz,2700.0,2x,2.0,10,3707.8,3676.0,3744.21,False
avrora,Time,2.7GHz,2700.0,3x,3.0,15,3621.4,3593.4,3656.71,True
avrora,Time,2.7GHz,2700.0,4x,4.0,20,3592.7,3560.4,3634.6175,True
avrora,Time,2.7GHz,2700.0,5x,5.0,25,3605.8,3566.7,3657.71,True
avrora,Time,2.7GHz,2700.0,6x,6.0,30,3615.5,3560.595,3674.4125,True
avrora,EDP,400MHz,400.0,1x,1.0,5,1882.1467306710997,1853.5126031129896,1906.9863099555052,False
avrora,EDP,400MHz,400.0,2x,2.0,10,1228.96687346,1174.9060289186923,1295.8840583243923,False
avrora,EDP,400MHz,400.0,3x,3.0,15,1139.5577842155,1123.619096008485,1156.649819618955,False
avrora,EDP,400MHz,400.0,4x,4.0,20,1148.8224013052,1121.893177508125,1176.861242529335,False
avrora,EDP,400MHz,400.0,5x,5.0,25,1243.4230914698,1202.8957352386274,1300.1077949944026,False
avrora,EDP,400MHz,400.0,6x,6.0,30,1229.7107877990002,1207.64099516395,1258.8353725682052,False
avrora,EDP,800MHz,800.0,1x,1.0,5,539.4576162782,531.6756372258,546.8810271913425,False
avrora,EDP,800MHz,800.0,2x,2.0,10,373.5103890789,364.5494919633,385.40055433195255,False
avrora,EDP,800MHz,800.0,3x,3.0,15,326.3330761407,319.945440648645,331.5518164904725,False
avrora,EDP,800MHz,800.0,4x,4.0,20,329.72043440870004,321.3114464892875,338.33796722386745,False
avrora,EDP,800MHz,800.0,5x,5.0,25,348.0037468268,339.8094120992174,357.0394659284575,False
avrora,EDP,800MHz,800.0,6x,6.0,30,342.1125485383,335.49379004081743,348.51178935489247,False
avrora,EDP,1.2GHz,1200.0,1x,1.0,5,290.2790122931,280.63067362754,301.0406283878675,False
avrora,EDP,1.2GHz,1200.0,2x,2.0,10,196.2744176121,188.1981898062975,206.2629749716425,False
avrora,EDP,1.2GHz,1200.0,3x,3.0,15,163.9301940997,161.98430149229998,166.28887238666502,False
avrora,EDP,1.2GHz,1200.0,4x,4.0,20,163.62859021539998,160.758740240465,167.11651443824,False
avrora,EDP,1.2GHz,1200.0,5x,5.0,25,175.4270348054,171.74867686359752,179.55494562057248,False
avrora,EDP,1.2GHz,1200.0,6x,6.0,30,177.09161615739998,173.6496578086225,180.3209036679675,False
avrora,EDP,1.6GHz,1600.0,1x,1.0,5,181.0994594406,177.345203159725,186.43003486584252,False
avrora,EDP,1.6GHz,1600.0,2x,2.0,10,121.3416838839,118.546549794475,124.34969852710502,False
avrora,EDP,1.6GHz,1600.0,3x,3.0,15,114.164529585,108.002853417925,124.3385951704125,False
avrora,EDP,1.6GHz,1600.0,4x,4.0,20,106.8379049975,104.6706903655075,109.18873313083,False
avrora,EDP,1.6GHz,1600.0,5x,5.0,25,113.7808384499,111.19460531973748,116.64098390482496,False
avrora,EDP,1.6GHz,1600.0,6x,6.0,30,119.0589846764,113.43639854941,127.37697447503253,False
avrora,EDP,2.0GHz,2000.0,1x,1.0,5,146.56659501439998,142.18444007494003,153.26024443550003,False
avrora,EDP,2.0GHz,2000.0,2x,2.0,10,95.566190232,94.20034179064504,97.101669931195,False
avrora,EDP,2.0GHz,2000.0,3x,3.0,15,87.21939505610001,85.66756954036501,89.01027818036751,False
avrora,EDP,2.0GHz,2000.0,4x,4.0,20,85.7789230623,84.73218100165501,86.75037268869751,False
avrora,EDP,2.0GHz,2000.0,5x,5.0,25,90.87380225900002,88.59459272808499,93.43743894600252,False
avrora,EDP,2.0GHz,2000.0,6x,6.0,30,89.1680377975,88.34204212879,90.03201172160001,False
avrora,EDP,2.4GHz,2400.0,1x,1.0,5,122.2556738314,120.10446429201,124.29380096877252,False
avrora,EDP,2.4GHz,2400.0,2x,2.0,10,80.41072637250002,78.70005447115,82.3623988714075,False
avrora,EDP,2.4GHz,2400.0,3x,3.0,15,76.9664481294,74.33196494020001,80.8676434973675,False
avrora,EDP,2.4GHz,2400.0,4x,4.0,20,75.95454823309998,74.18552245325998,77.6016982207575,False
avrora,EDP,2.4GHz,2400.0,5x,5.0,25,77.9963616178,77.10364926917998,78.87794582745,False
avrora,EDP,2.4GHz,2400.0,6x,6.0,30,78.2824908885,76.44661165282251,80.17958649061501,False
avrora,EDP,2.7GHz,2700.0,1x,1.0,5,115.28253926739998,112.312481992625,119.70068197136,False
avrora,EDP,2.7GHz,2700.0,2x,2.0,10,74.9567614104,73.5295162575725,76.488994749055,False
avrora,EDP,2.7GHz,2700.0,3x,3.0,15,71.3754817189,70.119353211565,72.87280211835,True
avrora,EDP,2.7GHz,2700.0,4x,4.0,20,70.2831711249,68.97612956029499,71.92801645064999,True
avrora,EDP,2.7GHz,2700.0,5x,5.0,25,72.50677040289999,70.86616406317252,74.7492110699575,True
avrora,EDP,2.7GHz,2700.0,6x,6.0,30,72.89652486819999,70.87899676552249,75.3356502925425,True
avrora,EDP2,400MHz,400.0,1x,1.0,5,113944.72253040232,111408.27757857284,116133.13835824993,False
avrora,EDP2,400MHz,400.0,2x,2.0,10,59243.09677619798,54847.12659157086,64954.112805679106,False
avrora,EDP2,400MHz,400.0,3x,3.0,15,52066.61426255472,50968.73241624073,53200.68727297206,False
avrora,EDP2,400MHz,400.0,4x,4.0,20,52683.04869566774,50815.54209277513,54858.27230116643,False
avrora,EDP2,400MHz,400.0,5x,5.0,25,61571.23138927639,58044.77150039778,66348.88304831828,False
avrora,EDP2,400MHz,400.0,6x,6.0,30,60485.61159242307,58594.59213015612,62594.655951344175,False
avrora,EDP2,800MHz,800.0,1x,1.0,5,18654.17264734149,18232.143320052972,19062.517808882923,False
avrora,EDP2,800MHz,800.0,2x,2.0,10,10755.470736301657,10377.620350810346,11224.29979317198,False
avrora,EDP2,800MHz,800.0,3x,3.0,15,8511.09120923424,8273.84514994883,8717.607442839842,False
avrora,EDP2,800MHz,800.0,4x,4.0,20,8648.236017177562,8309.043214126084,8988.505373067484,False
avrora,EDP2,800MHz,800.0,5x,5.0,25,9646.412747926315,9324.37931005903,10037.527687005071,False
avrora,EDP2,800MHz,800.0,6x,6.0,30,9399.736498870056,9129.899424511965,9663.099388956727,False
avrora,EDP2,1.2GHz,1200.0,1x,1.0,5,8054.97315132584,7635.343064629529,8550.270508635314,False
avrora,EDP2,1.2GHz,1200.0,2x,2.0,10,4471.1999323587215,4176.324397279634,4855.549241198897,False
avrora,EDP2,1.2GHz,1200.0,3x,3.0,15,3269.1091756727974,3205.6518063697313,3341.5945129173065,False
avrora,EDP2,1.2GHz,1200.0,4x,4.0,20,3261.440260791652,3175.171904604689,3361.4178296377954,False
avrora,EDP2,1.2GHz,1200.0,5x,5.0,25,3753.005306654088,3625.254764191692,3884.2788217652223,False
avrora,EDP2,1.2GHz,1200.0,6x,6.0,30,3821.531328960463,3713.544960941969,3915.833396187709,False
avrora,EDP2,1.6GHz,1600.0,1x,1.0,5,4263.920644298748,4125.190563460101,4438.483268749712,False
avrora,EDP2,1.6GHz,1600.0,2x,2.0,10,2330.6817721888924,2246.814674498469,2417.3814968014744,False
avrora,EDP2,1.6GHz,1600.0,3x,3.0,15,2138.087705542762,1911.5344745127811,2533.743895402357,False
avrora,EDP2,1.6GHz,1600.0,4x,4.0,20,1872.8008360112703,1814.14268982195,1938.9275056830447,False
avrora,EDP2,1.6GHz,1600.0,5x,5.0,25,2116.11194413778,2042.531138463445,2191.31164720015,False
avrora,EDP2,1.6GHz,1600.0,6x,6.0,30,2327.550493586135,2099.140324787267,2680.123830312127,False
avrora,EDP2,2.0GHz,2000.0,1x,1.0,5,3470.2927515320443,3303.979447142996,3730.3536753443295,False
avrora,EDP2,2.0GHz,2000.0,2x,2.0,10,1818.6166432569485,1779.195751280319,1864.8916957671115,False
avrora,EDP2,2.0GHz,2000.0,3x,3.0,15,1555.39274553854,1512.4408936367952,1604.05964946704,False
avrora,EDP2,2.0GHz,2000.0,4x,4.0,20,1516.432165337484,1488.41121002078,1543.87725614309,False
avrora,EDP2,2.0GHz,2000.0,5x,5.0,25,1683.9111572619768,1617.3815775680937,1753.352500338927,False
avrora,EDP2,2.0GHz,2000.0,6x,6.0,30,1637.6108657019042,1615.4266768531097,1662.2698563824288,False
avrora,EDP2,2.4GHz,2400.0,1x,1.0,5,2923.065774402499,2834.93224510119,3015.4849196607,False
avrora,EDP2,2.4GHz,2400.0,2x,2.0,10,1546.041402298207,1499.981390175188,1604.2288057525298,False
avrora,EDP2,2.4GHz,2400.0,3x,3.0,15,1449.1076775474155,1372.7677971867777,1557.74521922452,True
avrora,EDP2,2.4GHz,2400.0,4x,4.0,20,1418.5394007422935,1371.4968103567796,1466.2071376259732,True
avrora,EDP2,2.4GHz,2400.0,5x,5.0,25,1496.6256027813,1473.323571645978,1522.2487753214136,False
avrora,EDP2,2.4GHz,2400.0,6x,6.0,30,1504.8785325733902,1452.6125964301864,1561.7312086660872,False
avrora,EDP2,2.7GHz,2700.0,1x,1.0,5,2896.268649422617,2784.0886882770155,3062.1832097846845,False
avrora,EDP2,2.7GHz,2700.0,2x,2.0,10,1515.7618524333734,1471.2647739685117,1565.00589364656,False
avrora,EDP2,2.7GHz,2700.0,3x,3.0,15,1407.1401600803324,1370.1844396311628,1450.8608582951078,True
avrora,EDP2,2.7GHz,2700.0,4x,4.0,20,1375.3341875181973,1336.028895708541,1424.4811504266736,True
avrora,EDP2,2.7GHz,2700.0,5x,5.0,25,1458.7199015305482,1405.3300293232503,1519.5433948722373,True
avrora,EDP2,2.7GHz,2700.0,6x,6.0,30,1470.5602935103636,1415.7843237305012,1541.3481401227928,True
batik,Energy,400MHz,400.0,1x,1.0,38,7.2453063,6.71944079,7.81935109,False
batik,Energy,400MHz,400.0,1.5x,1.5,57,7.0133362,6.280328775000001,7.824438707500001,False
batik,Energy,400MHz,400.0,2x,2.0,76,7.809185699999999,7.376011847500001,8.30889006,False
batik,Energy,400MHz,400.0,2.5x,2.5,95,7.920556700000001,7.3956294725,8.563027380000001,False
batik,Energy,400MHz,400.0,3x,3.0,114,7.3106202,6.840185937499999,7.959506817500001,False
batik,Energy,800MHz,800.0,1x,1.0,38,5.249645800000001,5.0228608325,5.506891575,False
batik,Energy,800MHz,800.0,1.5x,1.5,57,4.3990234,4.0611487749999995,4.724428707499999,False
batik,Energy,800MHz,800.0,2x,2.0,76,4.5740967,4.2660643275,4.9529643850000005,False
batik,Energy,800MHz,800.0,2.5x,2.5,95,4.238201899999999,4.0115040175,4.4837141825,False
batik,Energy,800MHz,800.0,3x,3.0,114,4.1671143,3.996985635,4.340305012500001,False
batik,Energy,1.2GHz,1200.0,1x,1.0,38,4.6156678,4.4516962950000005,4.77958658,False
batik,Energy,1.2GHz,1200.0,1.5x,1.5,57,4.355981399999999,3.8887039375,4.7886932125,False
batik,Energy,1.2GHz,1200.0,2x,2.0,76,3.5700439000000004,3.2818971075,3.8214445075,False
batik,Energy,1.2GHz,1200.0,2.5x,2.5,95,3.0337829999999997,2.90659702,3.1688992625,False
batik,Energy,1.2GHz,1200.0,3x,3.0,114,3.280786,3.159999855,3.38932328,False
batik,Energy,1.6GHz,1600.0,1x,1.0,38,6.0210997,5.839464682499999,6.221367805000001,False
batik,Energy,1.6GHz,1600.0,1.5x,1.5,57,5.1565553,4.6017535249999995,5.694691839999999,False
batik,Energy,1.6GHz,1600.0,2x,2.0,76,4.1744568,3.8451957925,4.439013192499999,False
batik,Energy,1.6GHz,1600.0,2.5x,2.5,95,4.3242554,4.0528465774999995,4.654996090000001,False
batik,Energy,1.6GHz,1600.0,3x,3.0,114,4.104010099999999,3.8677696725,4.410709549999999,False
batik,Energy,1.8GHz,1800.0,1x,1.0,38,4.6048705000000005,4.3356297249999995,4.826177512499999,False
batik,Energy,1.8GHz,1800.0,1.5x,1.5,57,3.4047487000000003,3.1677101575,3.631914035,False
batik,Energy,1.8GHz,1800.0,2x,2.0,76,3.2965695999999993,2.83256611,3.6679247925,False
batik,Energy,1.8GHz,1800.0,2.5x,2.5,95,2.6777649,2.58719444,2.77158106,True
batik,Energy,1.8GHz,1800.0,3x,3.0,114,2.6522095,2.5013344349999995,2.801784684999999,True
batik,Energy,2.0GHz,2000.0,1x,1.0,38,3.7448549,2.8939987375,4.4632034875,False
batik,Energy,2.0GHz,2000.0,1.5x,1.5,57,3.7434019,3.536786805,3.997081412499999,False
batik,Energy,2.0GHz,2000.0,2x,2.0,76,3.1789186000000003,2.9136616175000003,3.4270409375,False
batik,Energy,2.0GHz,2000.0,2.5x,2.5,95,2.8899108,2.7501366149999997,3.037241214999999,True
batik,Energy,2.0GHz,2000.0,3x,3.0,114,2.823773,2.5807489500000003,3.0109191425000006,True
batik,Energy,2.4GHz,2400.0,1x,1.0,38,5.3287962,5.014159447500001,5.588004322500001,False
batik,Energy,2.4GHz,2400.0,1.5x,1.5,57,4.534967099999999,3.95162681,5.05811572,False
batik,Energy,2.4GHz,2400.0,2x,2.0,76,3.5195254,3.1647602674999997,3.912287177499999,False
batik,Energy,2.4GHz,2400.0,2.5x,2.5,95,2.9880676,2.81502265,3.1634493575,False
batik,Energy,2.4GHz,2400.0,3x,3.0,114,2.9004757999999997,2.7457451674999995,3.0465918299999997,True
batik,Energy,2.7GHz,2700.0,1x,1.0,38,5.8664755,5.754140949999999,5.991102266666667,False
batik,Energy,2.7GHz,2700.0,1.5x,1.5,57,4.4773621,3.7200063075,5.252358265,False
batik,Energy,2.7GHz,2700.0,2x,2.0,76,3.4504517999999997,3.1089654725000004,3.7598230175,False
batik,Energy,2.7GHz,2700.0,2.5x,2.5,95,3.0068055,2.8369712275,3.1633363775,False
batik,Energy,2.7GHz,2700.0,3x,3.0,114,3.2476438,3.062225095,3.42295206,False
batik,Time,400MHz,400.0,1x,1.0,38,3946.9,3665.975,4210.45,False
batik,Time,400MHz,400.0,1.5x,1.5,57,3743.6,3286.085,4209.8099999999995,False
batik,Time,400MHz,400.0,2x,2.0,76,3883.2,3664.375,4144.715,False
batik,Time,400MHz,400.0,2.5x,2.5,95,4031.3,3763.9175,4317.83,False
batik,Time,400MHz,400.0,3x,3.0,114,3869.1,3635.4425,4180.8525,False
batik,Time,800MHz,800.0,1x,1.0,38,2525.7,2409.25,2657.5175,False
batik,Time,800MHz,800.0,1.5x,1.5,57,2112.7,1932.9725,2274.7425,False
batik,Time,800MHz,800.0,2x,2.0,76,2003.1,1865.9425,2168.83,False
batik,Time,800MHz,800.0,2.5x,2.5,95,1978.9,1863.525,2088.6775,False
batik,Time,800MHz,800.0,3x,3.0,114,1962.4,1890.45,2037.5075,False
batik,Time,1.2GHz,1200.0,1x,1.0,38,1839.8,1777.4975,1898.805,False
batik,Time,1.2GHz,1200.0,1.5x,1.5,57,1715.1,1544.8575,1888.83,False
batik,Time,1.2GHz,1200.0,2x,2.0,76,1348.8,1241.695,1442.4425,False
batik,Time,1.2GHz,1200.0,2.5x,2.5,95,1213.2,1161.8875,1275.7125,False
batik,Time,1.2GHz,1200.0,3x,3.0,114,1314.9,1266.7925,1357.7075,False
batik,Time,1.6GHz,1600.0,1x,1.0,38,2025.3,1961.2675,2090.04,False
batik,Time,1.6GHz,1600.0,1.5x,1.5,57,1743.0,1557.335,1927.5275,False
batik,Time,1.6GHz,1600.0,2x,2.0,76,1409.7,1300.1875,1502.805,False
batik,Time,1.6GHz,1600.0,2.5x,2.5,95,1465.0,1376.6575,1569.6025,False
batik,Time,1.6GHz,1600.0,3x,3.0,114,1389.5,1306.495,1502.2225,False
batik,Time,1.8GHz,1800.0,1x,1.0,38,1400.5,1316.3925000000002,1465.605,False
batik,Time,1.8GHz,1800.0,1.5x,1.5,57,1036.0,971.8925,1108.12,False
batik,Time,1.8GHz,1800.0,2x,2.0,76,965.8,841.8974999999999,1067.12,False
batik,Time,1.8GHz,1800.0,2.5x,2.5,95,825.5,798.0975,851.0074999999999,False
batik,Time,1.8GHz,1800.0,3x,3.0,114,813.9,773.59,860.8075,False
batik,Time,2.0GHz,2000.0,1x,1.0,38,1019.9,813.465,1200.9824999999998,False
batik,Time,2.0GHz,2000.0,1.5x,1.5,57,947.2,905.3,991.52,False
batik,Time,2.0GHz,2000.0,2x,2.0,76,828.2,757.4,892.1175,False
batik,Time,2.0GHz,2000.0,2.5x,2.5,95,790.9,753.2925,839.0,False
batik,Time,2.0GHz,2000.0,3x,3.0,114,775.3,714.6550000000001,825.51,False
batik,Time,2.4GHz,2400.0,1x,1.0,38,1149.8,1083.495,1205.9,False
batik,Time,2.4GHz,2400.0,1.5x,1.5,57,923.1,827.98,1039.9025,False
batik,Time,2.4GHz,2400.0,2x,2.0,76,729.7,658.6975,807.4025,False
batik,Time,2.4GHz,2400.0,2.5x,2.5,95,644.1,606.1,677.9,False
batik,Time,2.4GHz,2400.0,3x,3.0,114,629.9,593.9,661.015,False
batik,Time,2.7GHz,2700.0,1x,1.0,38,1068.8333333333333,1048.5,1091.5125,False
batik,Time,2.7GHz,2700.0,1.5x,1.5,57,773.7,643.595,893.52,False
batik,Time,2.7GHz,2700.0,2x,2.0,76,606.2,550.29,662.9175,True
batik,Time,2.7GHz,2700.0,2.5x,2.5,95,544.0,512.4,574.2025,True
batik,Time,2.7GHz,2700.0,3x,3.0,114,585.4,553.29,618.205,True
batik,EDP,400MHz,400.0,1x,1.0,38,28.981944974099996,25.0622692815875,33.1733228907425,False
batik,EDP,400MHz,400.0,1.5x,1.5,57,27.157775184899997,21.350476130475,33.6064239127775,False
batik,EDP,400MHz,400.0,2x,2.0,76,30.642153306,26.80851281392,35.120740888825004,False
batik,EDP,400MHz,400.0,2.5x,2.5,95,32.35021361610001,27.940176058625,37.6976517181425,False
batik,EDP,400MHz,400.0,3x,3.0,114,28.6674042112,24.864584542449997,33.5904491586025,False
batik,EDP,800MHz,800.0,1x,1.0,38,13.338546051999998,12.095437673477498,14.731801002135,False
batik,EDP,800MHz,800.0,1.5x,1.5,57,9.4349316513,8.13130632341,10.817657791505,False
batik,EDP,800MHz,800.0,2x,2.0,76,9.311110564700002,7.9514227613875,10.8861707312425,False
batik,EDP,800MHz,800.0,2.5x,2.5,95,8.460819822000001,7.4642015556275,9.4608609029425,False
batik,EDP,800MHz,800.0,3x,3.0,114,8.209000875200001,7.618467691609999,8.9077631781375,False
batik,EDP,1.2GHz,1200.0,1x,1.0,38,8.516723154400001,7.91415311395,9.056117513814998,False
batik,EDP,1.2GHz,1200.0,1.5x,1.5,57,7.661892690499999,6.2659112068225,9.19261504515,False
batik,EDP,1.2GHz,1200.0,2x,2.0,76,4.888094661799999,4.128292784792501,5.584140237189999,False
batik,EDP,1.2GHz,1200.0,2.5x,2.5,95,3.700388410900001,3.3968506541149996,4.0688078436224995,False
batik,EDP,1.2GHz,1200.0,3x,3.0,114,4.3270069622000005,4.035131582625001,4.5909296996424995,False
batik,EDP,1.6GHz,1600.0,1x,1.0,38,12.227576842099998,11.465217083772504,13.071167170965,False
batik,EDP,1.6GHz,1600.0,1.5x,1.5,57,9.2545744189,7.384910625732501,11.1905898425125,False
batik,EDP,1.6GHz,1600.0,2x,2.0,76,5.9622691159,5.13808238643,6.695983033897499,False
batik,EDP,1.6GHz,1600.0,2.5x,2.5,95,6.4157323360000005,5.552958709617501,7.30296160374,False
batik,EDP,1.6GHz,1600.0,3x,3.0,114,5.7736800596,5.104220672067499,6.669353671377501,False
batik,EDP,1.8GHz,1800.0,1x,1.0,38,6.4991337156,5.798051653510001,7.075467208459999,False
batik,EDP,1.8GHz,1800.0,1.5x,1.5,57,3.5694182269000003,3.1018097794574997,4.068962154025001,False
batik,EDP,1.8GHz,1800.0,2x,2.0,76,3.3102898564,2.54666277584,3.966701047725,False
batik,EDP,1.8GHz,1800.0,2.5x,2.5,95,2.2168316049000003,2.0767757632399997,2.3541831023925,False
batik,EDP,1.8GHz,1800.0,3x,3.0,114,2.1746431761,1.9489128537425,2.4065195275,False
