Benchmark,Objective,CPU Frequency (MHz),Frequency (MHz),Heap Label,Heap Multiplier Value,Heap Size MB,Mean,CI Low,CI High,Tied With Lowest Mean CI
avrora,Time,800MHz,800.0,6x,6.0,30,6759.2,6561.1925,7004.42,False
avrora,Time,1.2GHz,1200.0,1x,1.0,5,4759.1,4660.7925000000005,4861.802500000001,False
avrora,Time,1.2GHz,1200.0,2x,2.0,10,4460.4,4292.570000000001,4642.8325,False
avrora,Time,1.2GHz,1200.0,3x,3.0,15,4545.8,4456.0825,4651.6050000000005,False
avrora,Time,1.2GHz,1200.0,4x,4.0,20,4429.5,4341.4875,4506.6175,False
avrora,Time,1.2GHz,1200.0,5x,5.0,25,4389.8,4326.255,4459.01,False
avrora,Time,1.2GHz,1200.0,6x,6.0,30,4523.2,4367.2225,4701.535,False
avrora,Time,1.6GHz,1600.0,1x,1.0,5,3636.9,3568.1849999999995,3700.7325,False
avrora,Time,1.6GHz,1600.0,2x,2.0,10,3351.2,3289.3700000000003,3405.2075,False
avrora,Time,1.6GHz,1600.0,3x,3.0,15,3352.4,3288.285,3413.8225,False
avrora,Time,1.6GHz,1600.0,4x,4.0,20,3316.1,3261.195,3354.0024999999996,False
avrora,Time,1.6GHz,1600.0,5x,5.0,25,3406.4,3335.1,3493.9075,False
avrora,Time,1.6GHz,1600.0,6x,6.0,30,3313.1,3238.5975,3398.3125,False
avrora,Time,2.0GHz,2000.0,1x,1.0,5,2885.4,2827.2,2936.3999999999996,False
avrora,Time,2.0GHz,2000.0,2x,2.0,10,2678.9,2651.6000000000004,2711.6025,False
avrora,Time,2.0GHz,2000.0,3x,3.0,15,2652.2,2587.675,2711.4049999999997,False
avrora,Time,2.0GHz,2000.0,4x,4.0,20,2707.3,2687.5,2726.9,False
avrora,Time,2.0GHz,2000.0,5x,5.0,25,2691.1,2648.59,2738.3075000000003,False
avrora,Time,2.0GHz,2000.0,6x,6.0,30,2671.5,2602.885,2751.7425,False
avrora,Time,2.4GHz,2400.0,1x,1.0,5,2429.0,2365.3975,2475.7125,False
avrora,Time,2.4GHz,2400.0,2x,2.0,10,2281.0,2214.1875,2368.5150000000003,False
avrora,Time,2.4GHz,2400.0,3x,3.0,15,2262.8,2208.6749999999997,2323.1075,False
avrora,Time,2.4GHz,2400.0,4x,4.0,20,2211.4,2166.0,2249.4025,False
avrora,Time,2.4GHz,2400.0,5x,5.0,25,2244.2,2197.5,2287.1025,False
avrora,Time,2.4GHz,2400.0,6x,6.0,30,2219.4,2171.0925,2267.0150000000003,False
avrora,Time,2.7GHz,2700.0,1x,1.0,5,2160.1,2105.575,2234.34,False
avrora,Time,2.7GHz,2700.0,2x,2.0,10,1985.8,1930.2875,2036.9025,True
avrora,Time,2.7GHz,2700.0,3x,3.0,15,1958.5,1915.9,1995.3025,True
avrora,Time,2.7GHz,2700.0,4x,4.0,20,2000.2,1975.4825,2027.41,True
avrora,Time,2.7GHz,2700.0,5x,5.0,25,1993.4,1948.1925,2029.12,True
avrora,Time,2.7GHz,2700.0,6x,6.0,30,2003.0,1965.6925,2041.7075,True
avrora,EDP,400MHz,400.0,1x,1.0,5,358.3768900813,346.02106853252747,370.67798137721246,False
avrora,EDP,400MHz,400.0,2x,2.0,10,311.6232986275,300.7472784097074,322.5721368559574,False
avrora,EDP,400MHz,400.0,3x,3.0,15,324.1387741122,312.6564813741675,335.40208093318,False
avrora,EDP,400MHz,400.0,4x,4.0,20,319.44861206599995,308.07888119587494,330.60706520870747,False
avrora,EDP,400MHz,400.0,5x,5.0,25,309.05479854149996,298.509339619695,319.7097791065325,False
avrora,EDP,400MHz,400.0,6x,6.0,30,334.9629546426,315.93098553511,357.00280152083496,False
avrora,EDP,800MHz,800.0,1x,1.0,5,103.3162420129,97.46730344848253,110.19089243719748,False
avrora,EDP,800MHz,800.0,2x,2.0,10,90.8215772315,85.7965293729625,95.76751452947,False
avrora,EDP,800MHz,800.0,3x,3.0,15,91.4656371859,88.681903142615,94.02793483914002,False
avrora,EDP,800MHz,800.0,4x,4.0,20,87.5395399631,84.9391173658325,90.14079722103504,False
avrora,EDP,800MHz,800.0,5x,5.0,25,89.0339649255,85.791516727455,92.8338078016425,False
avrora,EDP,800MHz,800.0,6x,6.0,30,93.60814909209998,87.656971565815,100.66608651204996,False
avrora,EDP,1.2GHz,1200.0,1x,1.0,5,53.87438321450001,51.4654091223725,55.959646243265,False
avrora,EDP,1.2GHz,1200.0,2x,2.0,10,47.4958500679,43.837976030557506,51.45205468911999,False
avrora,EDP,1.2GHz,1200.0,3x,3.0,15,49.273934155899994,47.24865806979749,51.96002263680501,False
avrora,EDP,1.2GHz,1200.0,4x,4.0,20,46.62054496289999,44.821554024105,48.369226392257495,False
avrora,EDP,1.2GHz,1200.0,5x,5.0,25,45.7718177543,44.442836537332504,47.2726042058925,False
avrora,EDP,1.2GHz,1200.0,6x,6.0,30,48.7224879316,45.204578216775,52.85545000896249,False
avrora,EDP,1.6GHz,1600.0,1x,1.0,5,36.5573593127,35.2070088092175,37.89793530319,False
avrora,EDP,1.6GHz,1600.0,2x,2.0,10,30.87562874550001,29.694230540965005,31.8703599705075,False
avrora,EDP,1.6GHz,1600.0,3x,3.0,15,30.8638214844,29.6294850893425,32.04832320169,False
avrora,EDP,1.6GHz,1600.0,4x,4.0,20,30.3568633779,29.4013432135,31.03633737728,False
avrora,EDP,1.6GHz,1600.0,5x,5.0,25,32.1414430971,30.789497703535,33.91365172244,False
avrora,EDP,1.6GHz,1600.0,6x,6.0,30,30.400860269,28.9297935920575,32.1192222513325,False
avrora,EDP,2.0GHz,2000.0,1x,1.0,5,29.312097988,28.208060281815,30.26081991051,False
avrora,EDP,2.0GHz,2000.0,2x,2.0,10,25.119585613,24.551593627832503,25.77279502564999,False
avrora,EDP,2.0GHz,2000.0,3x,3.0,15,24.7051599792,23.488824900045,25.78973317539,False
avrora,EDP,2.0GHz,2000.0,4x,4.0,20,25.5744401865,25.158228649032505,25.951559464452497,False
avrora,EDP,2.0GHz,2000.0,5x,5.0,25,25.4028701348,24.6281457524125,26.26013690863,False
avrora,EDP,2.0GHz,2000.0,6x,6.0,30,25.0025781431,23.789448230752505,26.3742538269975,False
avrora,EDP,2.4GHz,2400.0,1x,1.0,5,26.4807934994,25.355015811502497,27.4471676559275,False
avrora,EDP,2.4GHz,2400.0,2x,2.0,10,23.419059749499997,21.9016749142125,25.3644204852875,False
avrora,EDP,2.4GHz,2400.0,3x,3.0,15,22.943165460799996,21.769261510529997,24.3208487724125,False
avrora,EDP,2.4GHz,2400.0,4x,4.0,20,21.8187684858,20.911300384742496,22.57878203297249,True
avrora,EDP,2.4GHz,2400.0,5x,5.0,25,22.607646760099996,21.624642446177496,23.53144005074,False
avrora,EDP,2.4GHz,2400.0,6x,6.0,30,22.0059485462,21.097245610274996,22.9643046330825,True
avrora,EDP,2.7GHz,2700.0,1x,1.0,5,25.0557307546,23.7520906077975,26.801903632279995,False
avrora,EDP,2.7GHz,2700.0,2x,2.0,10,21.116752482499997,19.850385577902497,22.157843538315003,True
avrora,EDP,2.7GHz,2700.0,3x,3.0,15,20.5493493359,19.638228639300003,21.3858681947275,True
avrora,EDP,2.7GHz,2700.0,4x,4.0,20,21.4045493664,20.779943017477503,22.01427943701,True
avrora,EDP,2.7GHz,2700.0,5x,5.0,25,21.285311443,20.262420438237495,22.117387937525,True
avrora,EDP,2.7GHz,2700.0,6x,6.0,30,21.5391027004,20.700275228705,22.3968377557775,True
avrora,EDP2,400MHz,400.0,1x,1.0,5,8991.419326926387,8530.794074326654,9452.661426359213,False
avrora,EDP2,400MHz,400.0,2x,2.0,10,7295.01326043554,6896.355844031432,7694.179324559127,False
avrora,EDP2,400MHz,400.0,3x,3.0,15,7724.042358709476,7321.308910415149,8091.604277351602,False
avrora,EDP2,400MHz,400.0,4x,4.0,20,7563.878048078116,7114.860401210305,7959.085208575611,False
avrora,EDP2,400MHz,400.0,5x,5.0,25,7194.591795134515,6813.560924689901,7603.152188733374,False
avrora,EDP2,400MHz,400.0,6x,6.0,30,8142.735679757903,7411.627649975861,9023.769509852777,False
avrora,EDP2,800MHz,800.0,1x,1.0,5,1496.417022091629,1370.0336002565552,1642.9268844636815,False
avrora,EDP2,800MHz,800.0,2x,2.0,10,1231.5697624702343,1125.1592171409225,1329.5100387614737,False
avrora,EDP2,800MHz,800.0,3x,3.0,15,1243.391085651126,1184.3543380185804,1292.7036249650546,False
avrora,EDP2,800MHz,800.0,4x,4.0,20,1163.7233332906428,1110.0742420176605,1213.1182920255408,False
avrora,EDP2,800MHz,800.0,5x,5.0,25,1194.0323855727515,1128.8571133707326,1265.8184208367993,False
avrora,EDP2,800MHz,800.0,6x,6.0,30,1301.6526258382885,1174.7332240096714,1449.4714096128582,False
avrora,EDP2,1.2GHz,1200.0,1x,1.0,5,610.5888435646345,570.6574475462974,647.102096893652,False
avrora,EDP2,1.2GHz,1200.0,2x,2.0,10,508.0838515938271,447.2446330532954,577.2759649090054,False
avrora,EDP2,1.2GHz,1200.0,3x,3.0,15,535.0077295740518,499.505673386186,583.083493195286,False
avrora,EDP2,1.2GHz,1200.0,4x,4.0,20,491.1828200993614,461.9241630020385,516.7845701083021,False
avrora,EDP2,1.2GHz,1200.0,5x,5.0,25,477.5608272118914,455.8331817958622,501.1820586220827,False
avrora,EDP2,1.2GHz,1200.0,6x,6.0,30,527.0469658194216,466.2021665175716,600.6676031200102,False
avrora,EDP2,1.6GHz,1600.0,1x,1.0,5,367.8426100756752,346.0929312622095,388.8320112468027,False
avrora,EDP2,1.6GHz,1600.0,2x,2.0,10,284.71985491741935,269.8441919149087,299.2510126774422,False
avrora,EDP2,1.6GHz,1600.0,3x,3.0,15,284.438446131133,267.5861040252388,299.8978766037737,False
avrora,EDP2,1.6GHz,1600.0,4x,4.0,20,278.0832976487458,264.68849359253306,288.0303058541699,False
avrora,EDP2,1.6GHz,1600.0,5x,5.0,25,303.76411119055035,284.0662458697716,328.249274368112,False
avrora,EDP2,1.6GHz,1600.0,6x,6.0,30,279.4859518309145,259.1131403496015,303.3968779234329,False
avrora,EDP2,2.0GHz,2000.0,1x,1.0,5,298.0324592304893,281.29183520096666,313.04209170213585,False
avrora,EDP2,2.0GHz,2000.0,2x,2.0,10,235.6518055962781,227.49049978379009,245.39377614130223,False
avrora,EDP2,2.0GHz,2000.0,3x,3.0,15,230.52619001341608,213.0924406671651,247.0546220399282,True
avrora,EDP2,2.0GHz,2000.0,4x,4.0,20,241.62988429037037,236.18340089734411,247.318895774014,False
avrora,EDP2,2.0GHz,2000.0,5x,5.0,25,239.9612029755637,229.03015135842367,252.53741918520052,False
avrora,EDP2,2.0GHz,2000.0,6x,6.0,30,234.4251206643834,216.9920518360004,254.2629423330933,True
avrora,EDP2,2.4GHz,2400.0,1x,1.0,5,289.01163082045633,270.0796797427043,304.6172807766147,False
avrora,EDP2,2.4GHz,2400.0,2x,2.0,10,241.33197713966956,217.9257433742489,270.5094158698592,True
avrora,EDP2,2.4GHz,2400.0,3x,3.0,15,233.16745758669964,215.25473741860597,255.74191807685511,True
avrora,EDP2,2.4GHz,2400.0,4x,4.0,20,215.51385214842003,201.47538392334351,226.77858684417347,True
avrora,EDP2,2.4GHz,2400.0,5x,5.0,25,228.07185493213063,212.7224056170487,243.15814233132343,True
avrora,EDP2,2.4GHz,2400.0,6x,6.0,30,218.44295996879913,205.23557217232224,231.44627017222112,True
avrora,EDP2,2.7GHz,2700.0,1x,1.0,5,291.3904322281375,267.73221081227274,323.0509954577012,False
avrora,EDP2,2.7GHz,2700.0,2x,2.0,10,225.02716778726364,207.3680446541198,242.97613601452133,True
avrora,EDP2,2.7GHz,2700.0,3x,3.0,15,215.88856693547817,201.2862072383263,228.5245057160469,True
avrora,EDP2,2.7GHz,2700.0,4x,4.0,20,229.20341878331027,219.4520015381081,241.0145306733247,True
avrora,EDP2,2.7GHz,2700.0,5x,5.0,25,227.6227096680262,211.5324307291371,241.18795928574005,True
avrora,EDP2,2.7GHz,2700.0,6x,6.0,30,231.86649011481276,218.4825052816386,245.3614868114958,True
biojava,Energy,400MHz,400.0,1x,1.0,7,15.4647034,14.5989376975,16.8973982875,False
biojava,Energy,400MHz,400.0,2x,2.0,14,2.2837646,2.0164397750000003,2.6230444325,False
biojava,Energy,400MHz,400.0,3x,3.0,21,2.2171510999999997,1.9433947875,2.5022251875,False
biojava,Energy,400MHz,400.0,4x,4.0,28,2.0255552999999997,1.7685514824999995,2.384229685,False
biojava,Energy,400MHz,400.0,5x,5.0,35,1.879248,1.7263842025000002,2.1037335300000004,False
biojava,Energy,400MHz,400.0,6x,6.0,42,1.8237732,1.68424689,2.0215775775000004,False
biojava,Energy,800MHz,800.0,1x,1.0,7,8.688531600000001,8.60152477,8.78308151,False
biojava,Energy,800MHz,800.0,2x,2.0,14,1.1552186,1.03728952,1.3085409524999998,False
biojava,Energy,800MHz,800.0,3x,3.0,21,1.0653378,0.990972575,1.142768275,False
biojava,Energy,800MHz,800.0,4x,4.0,28,1.2282533,1.0760440025,1.3853954174999998,False
biojava,Energy,800MHz,800.0,5x,5.0,35,1.0674132,0.96961909,1.2044248725000002,False
biojava,Energy,800MHz,800.0,6x,6.0,42,1.1303284000000002,1.0132499275,1.2663444075,False
biojava,Energy,1.2GHz,1200.0,1x,1.0,7,6.9674928,6.903019305,7.051343,False
biojava,Energy,1.2GHz,1200.0,2x,2.0,14,0.8755981,0.7799421950000001,1.0041243299999998,False
biojava,Energy,1.2GHz,1200.0,3x,3.0,21,0.8929137,0.800697785,0.999284495,False
biojava,Energy,1.2GHz,1200.0,4x,4.0,28,0.9097105,0.7980049000000001,1.0614586,False
biojava,Energy,1.2GHz,1200.0,5x,5.0,35,0.9293885,0.8193961825,1.0546403925,False
biojava,Energy,1.2GHz,1200.0,6x,6.0,42,0.9882263,0.8242935475000002,1.231726585,False
biojava,Energy,1.6GHz,1600.0,1x,1.0,7,6.256866199999999,6.1899885725,6.3198929925,False
biojava,Energy,1.6GHz,1600.0,2x,2.0,14,0.8236327000000001,0.7304746025000001,0.9353331025,True
biojava,Energy,1.6GHz,1600.0,3x,3.0,21,0.7655453999999999,0.6959245224999999,0.8502655749999999,True
biojava,Energy,1.6GHz,1600.0,4x,4.0,28,0.8218504,0.68625676,0.982936135,True
biojava,Energy,1.6GHz,1600.0,5x,5.0,35,0.7801635,0.679053495,0.8907806475000001,True
biojava,Energy,1.6GHz,1600.0,6x,6.0,42,0.7567872999999999,0.6687039875,0.9006004524999999,True
biojava,Energy,2.0GHz,2000.0,1x,1.0,7,6.4768311,6.414712334999999,6.559865132499999,False
biojava,Energy,2.0GHz,2000.0,2x,2.0,14,0.8013793,0.7017450975000001,0.9332551025,True
biojava,Energy,2.0GHz,2000.0,3x,3.0,21,0.8702757,0.749898795,1.028564955,True
biojava,Energy,2.0GHz,2000.0,4x,4.0,28,0.7003906000000001,0.6629326900000001,0.7543254924999999,True
biojava,Energy,2.0GHz,2000.0,5x,5.0,35,0.7511413,0.6639564149999999,0.86645344,True
biojava,Energy,2.0GHz,2000.0,6x,6.0,42,0.7370238,0.6806066075,0.8065918149999999,True
biojava,Energy,2.4GHz,2400.0,1x,1.0,7,6.2114012999999995,6.1763137225,6.251354555000001,False
biojava,Energy,2.4GHz,2400.0,2x,2.0,14,0.8631528000000002,0.7786172725,0.96954182,False
biojava,Energy,2.4GHz,2400.0,3x,3.0,21,0.83172,0.775143085,0.8892685325,False
biojava,Energy,2.4GHz,2400.0,4x,4.0,28,0.7513303,0.7184853575,0.79832887,True
biojava,Energy,2.4GHz,2400.0,5x,5.0,35,0.9051269,0.8142309325,1.009839475,False
biojava,Energy,2.4GHz,2400.0,6x,6.0,42,0.8883483999999999,0.77723334,1.01575958,False
biojava,Energy,2.7GHz,2700.0,1x,1.0,7,6.7452272,6.6403373525000005,6.8723818175,False
biojava,Energy,2.7GHz,2700.0,2x,2.0,14,0.8920166999999999,0.7803032200000001,1.0222990525000002,False
biojava,Energy,2.7GHz,2700.0,3x,3.0,21,1.0160583,0.9283239925,1.0984030450000002,False
biojava,Energy,2.7GHz,2700.0,4x,4.0,28,0.9367005,0.84443751,1.0438136925,False
biojava,Energy,2.7GHz,2700.0,5x,5.0,35,0.8373169,0.7741318274999999,0.90388607,False
biojava,Energy,2.7GHz,2700.0,6x,6.0,42,0.8927429,0.7790027700000001,1.0270250725,False
biojava,Time,400MHz,400.0,1x,1.0,7,7555.7,7229.5875,8109.4175,False
biojava,Time,400MHz,400.0,2x,2.0,14,1181.0,1042.15,1353.5475,False
biojava,Time,400MHz,400.0,3x,3.0,21,1164.0,1023.1725,1318.54,False
biojava,Time,400MHz,400.0,4x,4.0,28,1056.4,920.4,1245.805,False
biojava,Time,400MHz,400.0,5x,5.0,35,977.2,896.5875000000001,1091.93,False
biojava,Time,400MHz,400.0,6x,6.0,42,949.0,876.195,1056.6325,False
biojava,Time,800MHz,800.0,1x,1.0,7,3687.3,3660.395,3718.1075,False
biojava,Time,800MHz,800.0,2x,2.0,14,518.4,456.295,593.9075,False
biojava,Time,800MHz,800.0,3x,3.0,21,485.6,452.095,523.8025,False
biojava,Time,800MHz,800.0,4x,4.0,28,552.1,487.7975,629.4325,False
biojava,Time,800MHz,800.0,5x,5.0,35,478.3,433.2975,537.9225,False
biojava,Time,800MHz,800.0,6x,6.0,42,505.5,451.995,568.5024999999999,False
biojava,Time,1.2GHz,1200.0,1x,1.0,7,2476.5,2457.795,2499.9,False
biojava,Time,1.2GHz,1200.0,2x,2.0,14,337.0,298.5,380.3149999999998,False
biojava,Time,1.2GHz,1200.0,3x,3.0,21,341.5,305.295,384.5,False
biojava,Time,1.2GHz,1200.0,4x,4.0,28,351.5,306.0,406.82,False
biojava,Time,1.2GHz,1200.0,5x,5.0,35,355.6,311.985,398.2075,False
biojava,Time,1.2GHz,1200.0,6x,6.0,42,347.8,304.39,403.605,False
biojava,Time,1.6GHz,1600.0,1x,1.0,7,1882.2,1868.4,1896.7025,False
biojava,Time,1.6GHz,1600.0,2x,2.0,14,270.8,239.69,307.215,False
biojava,Time,1.6GHz,1600.0,3x,3.0,21,250.2,225.4,277.61,False
biojava,Time,1.6GHz,1600.0,4x,4.0,28,267.1,223.8975,315.41249999999997,False
biojava,Time,1.6GHz,1600.0,5x,5.0,35,254.0,220.185,287.7025,False
biojava,Time,1.6GHz,1600.0,6x,6.0,42,247.5,214.8,295.3275,False
biojava,Time,2.0GHz,2000.0,1x,1.0,7,1551.2,1532.8,1574.0075,False
biojava,Time,2.0GHz,2000.0,2x,2.0,14,206.2,182.5925,236.2,False
biojava,Time,2.0GHz,2000.0,3x,3.0,21,222.1,183.9975,265.0125,False
biojava,Time,2.0GHz,2000.0,4x,4.0,28,179.4,169.5975,192.9,False
biojava,Time,2.0GHz,2000.0,5x,5.0,35,192.3,168.995,224.4025,False
biojava,Time,2.0GHz,2000.0,6x,6.0,42,185.9,171.5975,203.3075,False
biojava,Time,2.4GHz,2400.0,1x,1.0,7,1261.9,1255.7,1270.1025,False
biojava,Time,2.4GHz,2400.0,2x,2.0,14,174.1,155.595,197.605,False
biojava,Time,2.4GHz,2400.0,3x,3.0,21,167.0,155.4,178.70749999999998,False
biojava,Time,2.4GHz,2400.0,4x,4.0,28,149.4,143.3,158.1075,True
biojava,Time,2.4GHz,2400.0,5x,5.0,35,183.4,163.98250000000002,205.8025,False
biojava,Time,2.4GHz,2400.0,6x,6.0,42,178.9,154.6975,205.6175,False
biojava,Time,2.7GHz,2700.0,1x,1.0,7,1157.7,1138.6950000000002,1179.3049999999998,False
biojava,Time,2.7GHz,2700.0,2x,2.0,14,149.8,129.7,172.6075,True
biojava,Time,2.7GHz,2700.0,3x,3.0,21,169.1,154.28750000000002,186.0,False
biojava,Time,2.7GHz,2700.0,4x,4.0,28,153.0,136.8975,169.4,True
biojava,Time,2.7GHz,2700.0,5x,5.0,35,139.2,128.0,150.8025,True
biojava,Time,2.7GHz,2700.0,6x,6.0,42,149.0,129.4,173.1,True
biojava,EDP,400MHz,400.0,1x,1.0,7,118.4286264732,105.7496733228825,140.1961598759375,False
biojava,EDP,400MHz,400.0,2x,2.0,14,2.8253068873,2.0652152805900004,3.6726068383875,False
biojava,EDP,400MHz,400.0,3x,3.0,21,2.6912021428999995,2.0544868114124997,3.3922679559424997,False
biojava,EDP,400MHz,400.0,4x,4.0,28,2.2672007607,1.6257862414625,3.163955086615,False
biojava,EDP,400MHz,400.0,5x,5.0,35,1.8840799035,1.5501209248925,2.3914782164824997,False
biojava,EDP,400MHz,400.0,6x,6.0,42,1.7792886525,1.47009617179,2.2455652339200007,False
biojava,EDP,800MHz,800.0,1x,1.0,7,32.043185606,31.480088071750004,32.5814560922425,False
biojava,EDP,800MHz,800.0,2x,2.0,14,0.6233526389999999,0.4706649376774999,0.8185204861900002,False
biojava,EDP,800MHz,800.0,3x,3.0,21,0.5247121244999999,0.4545481171799998,0.6047770566899999,False
biojava,EDP,800MHz,800.0,4x,4.0,28,0.7075783681999999,0.5369467171675,0.907148052805,False
biojava,EDP,800MHz,800.0,5x,5.0,35,0.5270163615000001,0.4225044143475001,0.6678169779849998,False
biojava,EDP,800MHz,800.0,6x,6.0,42,0.5911873737,0.4616771650800001,0.7519761241175,False
biojava,EDP,1.2GHz,1200.0,1x,1.0,7,17.2589569277,16.949111159695004,17.618901958054995,False
biojava,EDP,1.2GHz,1200.0,2x,2.0,14,0.3087394098,0.23132264361,0.4123163211349999,False
biojava,EDP,1.2GHz,1200.0,3x,3.0,21,0.3150967701,0.2506768048299999,0.3949289232424999,False
biojava,EDP,1.2GHz,1200.0,4x,4.0,28,0.3371193749,0.24742790999,0.45661412558,False
biojava,EDP,1.2GHz,1200.0,5x,5.0,35,0.3441256441999999,0.2602858523824999,0.43302186994,False
biojava,EDP,1.2GHz,1200.0,6x,6.0,42,0.3672888355,0.256227866505,0.5210946007,False
biojava,EDP,1.6GHz,1600.0,1x,1.0,7,11.778935312300002,11.5645496664075,11.9896243352275,False
biojava,EDP,1.6GHz,1600.0,2x,2.0,14,0.2321790819,0.176819234255,0.301348096515,False
biojava,EDP,1.6GHz,1600.0,3x,3.0,21,0.1961549949,0.1630569926875,0.233448188105,False
biojava,EDP,1.6GHz,1600.0,4x,4.0,28,0.2372777360999999,0.1599286992749999,0.329814003,False
biojava,EDP,1.6GHz,1600.0,5x,5.0,35,0.208516339,0.1497057387024999,0.2801274089175,False
