Benchmark,Objective,Reference Lowest Mean Config,Reference Lowest Mean,Reference CI Low,Reference CI High,Tied Config Count,Tied Frequencies,Tied Heaps,Tied Configs
jme,Tempo,2.7GHz / 6x,455.7,404.298,514.815,13,"2.0GHz, 2.4GHz, 2.7GHz","2x, 3x, 4x, 5x, 6x",2.0GHz / 3x; 2.0GHz / 5x; 2.0GHz / 6x; 2.4GHz / 2x; 2.4GHz / 3x; 2.4GHz / 4x; 2.4GHz / 5x; 2.4GHz / 6x; 2.7GHz / 2x; 2.7GHz / 3x; 2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
jython,EDP,2.7GHz / 6x,2.631,2.543,2.716,5,"2.4GHz, 2.7GHz","4x, 5x, 6x",2.4GHz / 5x; 2.4GHz / 6x; 2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
jython,Energia,1.6GHz / 6x,3.362,3.303,3.421,6,"1.6GHz, 2.0GHz","3x, 4x, 5x, 6x",1.6GHz / 3x; 1.6GHz / 4x; 1.6GHz / 5x; 1.6GHz / 6x; 2.0GHz / 5x; 2.0GHz / 6x
jython,E²DP,2.4GHz / 6x,10.173,9.595,10.777,9,"2.0GHz, 2.4GHz, 2.7GHz","2x, 3x, 4x, 5x, 6x",2.0GHz / 5x; 2.0GHz / 6x; 2.4GHz / 2x; 2.4GHz / 3x; 2.4GHz / 5x; 2.4GHz / 6x; 2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
jython,Tempo,2.7GHz / 6x,676.1,665.495,686.002,3,2.7GHz,"4x, 5x, 6x",2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
luindex,EDP,1.6GHz / 2x,6.186,5.644,6.847,9,"1.6GHz, 2.0GHz","2x, 3x, 4x, 5x, 6x",1.6GHz / 2x; 1.6GHz / 3x; 1.6GHz / 4x; 1.6GHz / 5x; 1.6GHz / 6x; 2.0GHz / 3x; 2.0GHz / 4x; 2.0GHz / 5x; 2.0GHz / 6x
luindex,Energia,1.6GHz / 2x,3.843,3.673,4.059,7,"1.2GHz, 1.6GHz, 2.0GHz","2x, 3x, 4x, 5x, 6x",1.2GHz / 6x; 1.6GHz / 2x; 1.6GHz / 3x; 1.6GHz / 4x; 1.6GHz / 5x; 1.6GHz / 6x; 2.0GHz / 4x
luindex,E²DP,1.6GHz / 2x,24.05,20.886,27.869,7,"1.6GHz, 2.0GHz","2x, 3x, 4x, 5x, 6x",1.6GHz / 2x; 1.6GHz / 3x; 1.6GHz / 4x; 1.6GHz / 5x; 1.6GHz / 6x; 2.0GHz / 3x; 2.0GHz / 4x
luindex,Tempo,1.6GHz / 2x,1601.8,1530.255,1678.712,20,"1.6GHz, 2.0GHz, 2.4GHz, 2.7GHz","1x, 2x, 3x, 4x, 5x, 6x",1.6GHz / 2x; 1.6GHz / 3x; 1.6GHz / 4x; 1.6GHz / 5x; 1.6GHz / 6x; 2.0GHz / 2x; 2.0GHz / 3x; 2.0GHz / 4x; 2.0GHz / 5x; 2.0GHz / 6x; 2.4GHz / 1x; 2.4GHz / 2x; 2.4GHz / 3x; 2.4GHz / 4x; 2.4GHz / 5x; 2.4GHz / 6x; 2.7GHz / 1x; 2.7GHz / 2x; 2.7GHz / 4x; 2.7GHz / 6x
lusearch,EDP,2.7GHz / 6x,1.268,1.234,1.293,4,"2.4GHz, 2.7GHz","4x, 5x, 6x",2.4GHz / 6x; 2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
lusearch,Energia,1.6GHz / 5x,2.297,2.247,2.337,5,"1.6GHz, 2.0GHz","4x, 5x, 6x",1.6GHz / 4x; 1.6GHz / 5x; 1.6GHz / 6x; 2.0GHz / 4x; 2.0GHz / 6x
lusearch,E²DP,2.4GHz / 6x,3.213,3.014,3.378,4,"2.4GHz, 2.7GHz","5x, 6x",2.4GHz / 5x; 2.4GHz / 6x; 2.7GHz / 5x; 2.7GHz / 6x
lusearch,Tempo,2.7GHz / 6x,476.0,469.995,480.9,3,2.7GHz,"4x, 5x, 6x",2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
pmd,EDP,2.7GHz / 4x,0.131,0.116,0.146,7,"2.0GHz, 2.4GHz, 2.7GHz","4x, 5x, 6x",2.0GHz / 6x; 2.4GHz / 4x; 2.4GHz / 5x; 2.4GHz / 6x; 2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
pmd,Energia,1.6GHz / 5x,0.749,0.704,0.793,7,"1.6GHz, 2.0GHz","2x, 4x, 5x, 6x",1.6GHz / 2x; 1.6GHz / 4x; 1.6GHz / 5x; 1.6GHz / 6x; 2.0GHz / 4x; 2.0GHz / 5x; 2.0GHz / 6x
pmd,E²DP,2.7GHz / 4x,0.115,0.094,0.136,14,"1.6GHz, 2.0GHz, 2.4GHz, 2.7GHz","2x, 3x, 4x, 5x, 6x",1.6GHz / 4x; 1.6GHz / 5x; 1.6GHz / 6x; 2.0GHz / 2x; 2.0GHz / 4x; 2.0GHz / 5x; 2.0GHz / 6x; 2.4GHz / 3x; 2.4GHz / 4x; 2.4GHz / 5x; 2.4GHz / 6x; 2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
pmd,Tempo,2.7GHz / 4x,151.0,142.2,159.702,3,2.7GHz,"4x, 5x, 6x",2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
spring,EDP,2.7GHz / 3x,0.333,0.305,0.363,8,"2.0GHz, 2.4GHz, 2.7GHz","2x, 3x, 4x, 5x",2.0GHz / 3x; 2.0GHz / 4x; 2.0GHz / 5x; 2.4GHz / 2x; 2.4GHz / 4x; 2.7GHz / 2x; 2.7GHz / 3x; 2.7GHz / 4x
spring,Energia,1.6GHz / 2x,1.12,1.067,1.171,8,"1.6GHz, 2.0GHz","2x, 3x, 4x, 5x, 6x",1.6GHz / 2x; 1.6GHz / 3x; 1.6GHz / 4x; 1.6GHz / 5x; 1.6GHz / 6x; 2.0GHz / 3x; 2.0GHz / 4x; 2.0GHz / 5x
spring,E²DP,2.0GHz / 4x,0.412,0.33,0.497,15,"1.6GHz, 2.0GHz, 2.4GHz, 2.7GHz","2x, 3x, 4x, 5x, 6x",1.6GHz / 2x; 1.6GHz / 3x; 1.6GHz / 4x; 1.6GHz / 5x; 1.6GHz / 6x; 2.0GHz / 3x; 2.0GHz / 4x; 2.0GHz / 5x; 2.0GHz / 6x; 2.4GHz / 2x; 2.4GHz / 3x; 2.4GHz / 4x; 2.7GHz / 2x; 2.7GHz / 3x; 2.7GHz / 4x
spring,Tempo,2.7GHz / 3x,243.2,234.098,253.9,3,2.7GHz,"2x, 3x, 4x",2.7GHz / 2x; 2.7GHz / 3x; 2.7GHz / 4x
sunflow,EDP,2.7GHz / 4x,0.593,0.537,0.654,11,"2.0GHz, 2.4GHz, 2.7GHz","2x, 3x, 4x, 5x, 6x",2.0GHz / 3x; 2.4GHz / 2x; 2.4GHz / 3x; 2.4GHz / 4x; 2.4GHz / 5x; 2.4GHz / 6x; 2.7GHz / 2x; 2.7GHz / 3x; 2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
sunflow,Energia,1.6GHz / 4x,1.62,1.53,1.725,15,"1.6GHz, 2.0GHz, 2.4GHz","2x, 3x, 4x, 5x, 6x",1.6GHz / 2x; 1.6GHz / 3x; 1.6GHz / 4x; 1.6GHz / 5x; 1.6GHz / 6x; 2.0GHz / 2x; 2.0GHz / 3x; 2.0GHz / 4x; 2.0GHz / 5x; 2.0GHz / 6x; 2.4GHz / 2x; 2.4GHz / 3x; 2.4GHz / 4x; 2.4GHz / 5x; 2.4GHz / 6x
sunflow,E²DP,2.7GHz / 4x,1.099,0.937,1.272,15,"2.0GHz, 2.4GHz, 2.7GHz","2x, 3x, 4x, 5x, 6x",2.0GHz / 2x; 2.0GHz / 3x; 2.0GHz / 4x; 2.0GHz / 5x; 2.0GHz / 6x; 2.4GHz / 2x; 2.4GHz / 3x; 2.4GHz / 4x; 2.4GHz / 5x; 2.4GHz / 6x; 2.7GHz / 2x; 2.7GHz / 3x; 2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
sunflow,Tempo,2.7GHz / 4x,321.7,308.198,338.302,5,2.7GHz,"2x, 3x, 4x, 5x, 6x",2.7GHz / 2x; 2.7GHz / 3x; 2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
xalan,EDP,2.4GHz / 6x,0.229,0.205,0.25,11,"2.0GHz, 2.4GHz, 2.7GHz","2x, 3x, 4x, 5x, 6x",2.0GHz / 4x; 2.4GHz / 2x; 2.4GHz / 3x; 2.4GHz / 4x; 2.4GHz / 5x; 2.4GHz / 6x; 2.7GHz / 2x; 2.7GHz / 3x; 2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
xalan,Energia,1.6GHz / 4x,0.962,0.893,1.033,15,"1.2GHz, 1.6GHz, 2.0GHz, 2.4GHz","2x, 3x, 4x, 5x, 6x",1.2GHz / 2x; 1.2GHz / 3x; 1.2GHz / 5x; 1.6GHz / 2x; 1.6GHz / 3x; 1.6GHz / 4x; 1.6GHz / 5x; 1.6GHz / 6x; 2.0GHz / 2x; 2.0GHz / 3x; 2.0GHz / 4x; 2.0GHz / 5x; 2.0GHz / 6x; 2.4GHz / 4x; 2.4GHz / 6x
xalan,E²DP,2.4GHz / 6x,0.242,0.206,0.278,17,"1.6GHz, 2.0GHz, 2.4GHz, 2.7GHz","2x, 3x, 4x, 5x, 6x",1.6GHz / 2x; 1.6GHz / 4x; 1.6GHz / 6x; 2.0GHz / 2x; 2.0GHz / 3x; 2.0GHz / 4x; 2.0GHz / 5x; 2.0GHz / 6x; 2.4GHz / 3x; 2.4GHz / 4x; 2.4GHz / 5x; 2.4GHz / 6x; 2.7GHz / 2x; 2.7GHz / 3x; 2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
xalan,Tempo,2.7GHz / 2x,199.1,189.2,209.605,7,"2.4GHz, 2.7GHz","2x, 3x, 4x, 5x, 6x",2.4GHz / 4x; 2.4GHz / 6x; 2.7GHz / 2x; 2.7GHz / 3x; 2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
zxing,EDP,2.4GHz / 2x,0.795,0.61,1.107,19,"1.6GHz, 2.0GHz, 2.4GHz, 2.7GHz","2x, 3x, 4x, 5x, 6x",1.6GHz / 2x; 1.6GHz / 3x; 1.6GHz / 5x; 1.6GHz / 6x; 2.0GHz / 2x; 2.0GHz / 3x; 2.0GHz / 4x; 2.0GHz / 5x; 2.0GHz / 6x; 2.4GHz / 2x; 2.4GHz / 3x; 2.4GHz / 4x; 2.4GHz / 5x; 2.4GHz / 6x; 2.7GHz / 2x; 2.7GHz / 3x; 2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
zxing,Energia,1.6GHz / 2x,1.738,1.569,1.957,20,"1.2GHz, 1.6GHz, 2.0GHz, 2.4GHz, 2.7GHz","2x, 3x, 4x, 5x, 6x",1.2GHz / 2x; 1.2GHz / 3x; 1.2GHz / 4x; 1.2GHz / 5x; 1.2GHz / 6x; 1.6GHz / 2x; 1.6GHz / 3x; 1.6GHz / 4x; 1.6GHz / 5x; 1.6GHz / 6x; 2.0GHz / 2x; 2.0GHz / 3x; 2.0GHz / 4x; 2.0GHz / 5x; 2.0GHz / 6x; 2.4GHz / 2x; 2.4GHz / 4x; 2.4GHz / 5x; 2.4GHz / 6x; 2.7GHz / 3x
zxing,E²DP,2.4GHz / 2x,1.679,1.018,2.82,24,"1.2GHz, 1.6GHz, 2.0GHz, 2.4GHz, 2.7GHz","2x, 3x, 4x, 5x, 6x",1.2GHz / 2x; 1.2GHz / 3x; 1.2GHz / 4x; 1.2GHz / 6x; 1.6GHz / 2x; 1.6GHz / 3x; 1.6GHz / 4x; 1.6GHz / 5x; 1.6GHz / 6x; 2.0GHz / 2x; 2.0GHz / 3x; 2.0GHz / 4x; 2.0GHz / 5x; 2.0GHz / 6x; 2.4GHz / 2x; 2.4GHz / 3x; 2.4GHz / 4x; 2.4GHz / 5x; 2.4GHz / 6x; 2.7GHz / 2x; 2.7GHz / 3x; 2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
zxing,Tempo,2.7GHz / 3x,370.6,328.898,433.1,9,"2.4GHz, 2.7GHz","2x, 3x, 4x, 5x, 6x",2.4GHz / 2x; 2.4GHz / 4x; 2.4GHz / 5x; 2.4GHz / 6x; 2.7GHz / 2x; 2.7GHz / 3x; 2.7GHz / 4x; 2.7GHz / 5x; 2.7GHz / 6x
